Covidence #,Study ID,Title,Reviewer Name,Title,Authors,Year of publication,Journal name,Country of study ,World Bank income classification,Data source type,Sample size — number of accidents,Study period covered by data,Geographic scope,Urban or rural setting,ML algorithm or algorithms used ,Algorithm category,Prediction task type,Training and test split method,Class imbalance addressed,Hyperparameter tuning reported,Spatial analysis method used ,Temporal resolution of analysis,Geographic unit of analysis ,Spatiotemporal framework type,Accuracy reported ,AUC or AUROC reported,F1-score reported ,Precision reported,Recall or sensitivity reported ,RMSE reported,MAE reported,Other metric and value ,Best performing algorithm in study ,Study conducted in Bangladesh,Study conducted in LMIC,Authors discuss LMIC transferability,Bangladesh relevance notes,PROBAST overall risk of bias,PROBAST Participants domain,PROBAST Predictors domain,PROBAST Outcome domain,PROBAST Analysis domain ,Author stated limitations,Key findings summary,PROBAST — Participants,PROBAST — Participants supporting text,PROBAST — Predictors,PROBAST — Predictors supporting text,PROBAST — Outcome,PROBAST — Outcome supporting text,PROBAST — Analysis,PROBAST — Analysis supporting text,PROBAST — Overall risk of bias,PROBAST — Overall risk of bias supporting text
131,Pan 2025,CrackLite-Net: A Sustainable Transportation-Oriented Real-Time Lightweight Network for Adaptive Road Crack Detection,Sarbajit Paul Bappy,"CrackLite-Net: A Sustainable Transportation-Oriented Real-Time
Lightweight Network for Adaptive Road Crack Detection",Pan et al.,2025,Sustainability,China,Upper-middle income,Sensor or telematics data,"Detects road surface damage: 5,000 images in LCrack dataset and 6,000 images from RDD2022",March 2025 (for LCrack dataset collection),City level,Urban,CrackLite-Net (an improved variant of YOLO12n),Deep learning,"Other: Road crack detection/Pavement distress classification: longitudinal, transverse, alligator cracks, and potholes",Fixed split,Not reported,Yes,Adaptive multi-scale feature integration using SAFPN and GhostPercepC2f backbone with axis-aware attention,Not specified,Not Reported,Spatial only,Precision: 92.4% (on LCrack dataset),Not Reported,88.7% (on LCrack dataset); 58.6% (on RDD2022),92.4%,85.2%,Not Reported,Not Reported,"mAP: 92.3% to 93.3% ,  Parameters: 2.2 M  , Speed: 132 FPS ",CrackLite-Net,No,Yes,Partially,The emphasis on lightweight models deployable on inexpensive drones is applicable to Bangladesh's road maintenance needs where high-end inspection vehicles may be too costly for widespread use.,Low risk,Low risk,Low risk,Low risk,Low risk,"Difficulty detecting extremely fine or heavily occluded cracks  , Potential for false positives in low-contrast textures  , Lack of temporal cues for continuous monitoring,   Lowest performance observed on alligator cracks due to irregular morphology","CrackLite-Net delivers a highly efficient solution for road maintenance, achieving a significant balance between detection accuracy (92.3% mAP) and computational cost (2.2 M parameters). It outperforms standard models like YOLO12 by improving feature perception and multi-scale fusion while being fast enough for real-time UAV deployment.",,,,,,,,,,
131,Pan 2025,CrackLite-Net: A Sustainable Transportation-Oriented Real-Time Lightweight Network for Adaptive Road Crack Detection,Consensus,"CrackLite-Net: A Sustainable Transportation-Oriented Real-Time
Lightweight Network for Adaptive Road Crack Detection",Pan et al.,2025,Sustainability,China,Upper-middle income,Sensor or telematics data,"Detects road surface damage: 5,000 images in LCrack dataset and 6,000 images from RDD2022",March 2025 (for LCrack dataset collection),City level,Urban,CrackLite-Net (an improved variant of YOLO12n),Deep learning,"Other: Road crack detection/Pavement distress classification: longitudinal, transverse, alligator cracks, and potholes",Fixed split,Not reported,Yes,Adaptive multi-scale feature integration using SAFPN and GhostPercepC2f backbone with axis-aware attention,Not specified,Not Reported,Spatial only,Precision: 92.4% (on LCrack dataset),Not Reported,88.7% (on LCrack dataset); 58.6% (on RDD2022),92.4%,85.2%,Not Reported,Not Reported,"mAP: 92.3% to 93.3% ,  Parameters: 2.2 M  , Speed: 132 FPS ",CrackLite-Net,No,Yes,Partially,The emphasis on lightweight models deployable on inexpensive drones is applicable to Bangladesh's road maintenance needs where high-end inspection vehicles may be too costly for widespread use.,Low risk,Low risk,Low risk,Low risk,Low risk,"Difficulty detecting extremely fine or heavily occluded cracks  , Potential for false positives in low-contrast textures  , Lack of temporal cues for continuous monitoring,   Lowest performance observed on alligator cracks due to irregular morphology","CrackLite-Net delivers a highly efficient solution for road maintenance, achieving a significant balance between detection accuracy (92.3% mAP) and computational cost (2.2 M parameters). It outperforms standard models like YOLO12 by improving feature perception and multi-scale fusion while being fast enough for real-time UAV deployment.",,,,,,,,,,
127,Chaoura 2025,Enhancing Emergency Response in Road Accidents: A Severity Prediction Framework Using RF-RFE and Deep Learning Model,Sarbajit Paul Bappy,Enhancing Emergency Response in Road Accidents: A Severity Prediction Framework Using RF-RFE and Deep Learning Model,C. Chaoura et al.,2025,IEEE Access,France,High income,Other: Official government records (National multi-source accident data from France),Not Reported,Not Reported,National level,Urban,Deep Learning (DL) model and Random Forest Recursive Feature Elimination (RF-RFE).,Deep learning,Severity classification,Not reported,Yes-undersampling,Not reported,Analysis of road conditions and urban-specific accident factors.,Not specified,Not Reported,Combined spatiotemporal,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Feature importance (via RF-RFE).,The deep learning model combined with RF-RFE feature selection is proposed as the optimal framework for prioritizing severe accidents.,No,No,Partially,The methodology for selecting key features and addressing imbalanced datasets to prioritize medical interventions is highly relevant for optimizing limited emergency resources in Bangladesh.,Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study developed a framework using RF-RFE for feature selection and deep learning to prioritize severe road accidents. By focusing on high-impact cases, the model supports faster ambulance dispatch and improved medical intervention strategies in complex urban environments.",,,,,,,,,,
127,Chaoura 2025,Enhancing Emergency Response in Road Accidents: A Severity Prediction Framework Using RF-RFE and Deep Learning Model,Consensus,Enhancing Emergency Response in Road Accidents: A Severity Prediction Framework Using RF-RFE and Deep Learning Model,C. Chaoura et al.,2025,IEEE Access,France,High income,Other: Official government records (National multi-source accident data from France),Not Reported,Not Reported,National level,Urban,Deep Learning (DL) model and Random Forest Recursive Feature Elimination (RF-RFE).,Deep learning,Severity classification,Not reported,Yes-undersampling,Not reported,Analysis of road conditions and urban-specific accident factors.,Not specified,Not Reported,Combined spatiotemporal,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Feature importance (via RF-RFE).,The deep learning model combined with RF-RFE feature selection is proposed as the optimal framework for prioritizing severe accidents.,No,No,Partially,The methodology for selecting key features and addressing imbalanced datasets to prioritize medical interventions is highly relevant for optimizing limited emergency resources in Bangladesh.,Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study developed a framework using RF-RFE for feature selection and deep learning to prioritize severe road accidents. By focusing on high-impact cases, the model supports faster ambulance dispatch and improved medical intervention strategies in complex urban environments.",,,,,,,,,,
118,Normatova 2025,Road traffic accident classification using a sparse video transformer and adaptive fragmentation,Sarbajit Paul Bappy,Road traffic accident classification using a sparse video transformer and adaptive fragmentation,Normatova et al.,2025,Herald of Advanced Information Technology,Ukraine,Lower-middle income,Sensor or telematics data,"1,500 accident videos (and 3,000 normal videos)",Not Reported,Other: Video-based dataset evaluation,Mixed,"Sparse Video Transformer (Adaptive-Sparse-ViT), Vision Transformers (ViT), and Temporal Segment Network (TSN with ResNet-18)",Ensemble,Accident occurrence prediction,Fixed split,Yes-SMOTE,Yes,Adaptive fragmentation guided by Farnebäck optical flow (8/16/32 pixel patches),Not specified,Not Reported,Combined spatiotemporal,0.864,Not Reported,0.851 (Macro-F1),0.845,0.860,Not Reported,Not Reported,Inference speed: ~12-18 FPS on CPU and 220-280 FPS on GPU,Adaptive-Sparse-ViT (proposed method),No,Yes,Partially,"The focus on ""CPU-friendly"" and ""lightweight"" architectures is highly relevant for resource-constrained environments like Bangladesh where expensive GPU infrastructure may not be widely available for all traffic monitoring points.",Low risk,Low risk,Low risk,Low risk,Low risk,"Dependence on optical flow quality in low-motion scenes, Preprocessing overhead for flow map computation ","The Adaptive-Sparse-ViT reduces token processing by 30-60% by focusing on motion-intensive regions. This allows the model to outperform uniform-patch transformers and traditional CNNs in both accuracy (0.864) and inference speed, particularly on CPUs.",,,,,,,,,,
118,Normatova 2025,Road traffic accident classification using a sparse video transformer and adaptive fragmentation,Consensus,Road traffic accident classification using a sparse video transformer and adaptive fragmentation,Normatova et al.,2025,Herald of Advanced Information Technology,Ukraine,Lower-middle income,Sensor or telematics data,"1,500 accident videos (and 3,000 normal videos)",Not Reported,Other: Video-based dataset evaluation,Mixed,"Sparse Video Transformer (Adaptive-Sparse-ViT), Vision Transformers (ViT), and Temporal Segment Network (TSN with ResNet-18)",Ensemble,Accident occurrence prediction,Fixed split,Yes-SMOTE,Yes,Adaptive fragmentation guided by Farnebäck optical flow (8/16/32 pixel patches),Not specified,Not Reported,Combined spatiotemporal,0.864,Not Reported,0.851 (Macro-F1),0.845,0.860,Not Reported,Not Reported,Inference speed: ~12-18 FPS on CPU and 220-280 FPS on GPU,Adaptive-Sparse-ViT (proposed method),No,Yes,Partially,"The focus on ""CPU-friendly"" and ""lightweight"" architectures is highly relevant for resource-constrained environments like Bangladesh where expensive GPU infrastructure may not be widely available for all traffic monitoring points.",Low risk,Low risk,Low risk,Low risk,Low risk,"Dependence on optical flow quality in low-motion scenes, Preprocessing overhead for flow map computation ","The Adaptive-Sparse-ViT reduces token processing by 30-60% by focusing on motion-intensive regions. This allows the model to outperform uniform-patch transformers and traditional CNNs in both accuracy (0.864) and inference speed, particularly on CPUs.",,,,,,,,,,
115,Cınar 2025,Deep Learning and LSTM Integration for Analyzing Driver Behaviors,Sarbajit Paul Bappy,Deep Learning and LSTM Integration for Analyzing Driver Behaviors,I. Cinar et al,2025,Turkish Journal of Mathematics and Computer Science (Turk. J. Math. Comput. Sci.),Türkiye,Upper-middle income,Other: Image-based dataset (Multi-class driver behavior dataset),Not Reported,Not Reported,Other: Not Reported,Not specified,"Hybrid architectures integrating VGG19, ResNet50, MobileNetV2, InceptionV3, DenseNet201, and InceptionResNetV2 with LSTM layers.",Deep learning,Severity classification,k-fold cross validation,Not reported,Not reported,Deep convolutional neural networks for spatial feature extraction from images.,Not specified,Not Reported,Combined spatiotemporal,Yes,Yes,Yes,Yes,Yes,NO,NO,Log Loss,"Not specified in numerical terms in the abstract, but indicates that LSTM integration improved performance across all base models.",No,Yes,Partially,The real-time detection of distracted driving behaviors (like phone use and texting) is highly relevant for automated traffic monitoring systems in Bangladesh's urban centers.,Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,Integrating LSTM layers with deep learning models significantly enhances the classification of driver behaviors by capturing temporal dependencies. This approach is crucial for the development of autonomous vehicles and proactive safety systems aimed at preventing accidents caused by distractions like texting or phone conversations.,,,,,,,,,,
115,Cınar 2025,Deep Learning and LSTM Integration for Analyzing Driver Behaviors,Consensus,Deep Learning and LSTM Integration for Analyzing Driver Behaviors,I. Cinar et al,2025,Turkish Journal of Mathematics and Computer Science (Turk. J. Math. Comput. Sci.),Türkiye,Upper-middle income,Other: Image-based dataset (Multi-class driver behavior dataset),Not Reported,Not Reported,Other: Not Reported,Not specified,"Hybrid architectures integrating VGG19, ResNet50, MobileNetV2, InceptionV3, DenseNet201, and InceptionResNetV2 with LSTM layers.",Deep learning,Severity classification,k-fold cross validation,Not reported,Not reported,Deep convolutional neural networks for spatial feature extraction from images.,Not specified,Not Reported,Combined spatiotemporal,Yes,Yes,Yes,Yes,Yes,NO,NO,Log Loss,"Not specified in numerical terms in the abstract, but indicates that LSTM integration improved performance across all base models.",No,Yes,Partially,The real-time detection of distracted driving behaviors (like phone use and texting) is highly relevant for automated traffic monitoring systems in Bangladesh's urban centers.,Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,Integrating LSTM layers with deep learning models significantly enhances the classification of driver behaviors by capturing temporal dependencies. This approach is crucial for the development of autonomous vehicles and proactive safety systems aimed at preventing accidents caused by distractions like texting or phone conversations.,,,,,,,,,,
114,Islam 2022,Predicting Road Crash Severity Using Classifier Models and Crash Hotspots,Sarbajit Paul Bappy,"Predicting Road Crash Severity Using Classifier Models and
Crash Hotspots",Md. Kamrul Islam et al.,2022,Applied Sciences (MDPI),Bangladesh,Lower-middle income,Police records,"1,732 crashes",2014 to 2018,City level,Urban,"Logistic Regression (LR), Random Forest (RF), and Support Vector Machine (SVM).",Traditional ML,Mixed,Fixed split,Yes-SMOTE,Yes,Kernel Density Estimation (KDE) for hotspot identification.,Hourly,Crash locations/Hotspots in Dhaka city,Combined spatiotemporal,"Yes (RF: 80%, SVM: 78%, LR: 73% for unbalanced data; RF: 95%, SVM: 86%, LR: 81% for balanced data).","Yes (RF: 0.99, SVM: 0.94, LR: 0.89 for balanced data)","Yes (RF: 0.95, SVM: 0.86, LR: 0.80 for balanced data)","Yes (RF: 0.95, SVM: 0.87, LR: 0.81 for balanced data)","Yes (RF: 0.95, SVM: 0.86, LR: 0.81 for balanced data)",Not Reported,Not Reported,G-mean and Geometric Mean.,Random Forest (RF).,Yes,Yes,Yes,This study is directly focused on Dhaka and addresses the specific challenges of heterogeneous traffic and poor data quality in the Bangladesh context.,Low risk,Low risk,Low risk,Low risk,Low risk,"The study is limited by the quality and completeness of police-reported data, which may underreport minor injuries.",Random Forest achieved the best performance in predicting fatal vs. non-fatal accidents in Dhaka. The integration of spatial hotspots with machine learning classifiers provides a robust tool for urban administrators to prioritize road safety interventions.,,,,,,,,,,
114,Islam 2022,Predicting Road Crash Severity Using Classifier Models and Crash Hotspots,Consensus,"Predicting Road Crash Severity Using Classifier Models and
Crash Hotspots",Md. Kamrul Islam et al.,2022,Applied Sciences (MDPI),Bangladesh,Lower-middle income,Police records,"1,732 crashes",2014 to 2018,City level,Urban,"Logistic Regression (LR), Random Forest (RF), and Support Vector Machine (SVM).",Traditional ML,Mixed,Fixed split,Yes-SMOTE,Yes,Kernel Density Estimation (KDE) for hotspot identification.,Hourly,Crash locations/Hotspots in Dhaka city,Combined spatiotemporal,"Yes (RF: 80%, SVM: 78%, LR: 73% for unbalanced data; RF: 95%, SVM: 86%, LR: 81% for balanced data).","Yes (RF: 0.99, SVM: 0.94, LR: 0.89 for balanced data)","Yes (RF: 0.95, SVM: 0.86, LR: 0.80 for balanced data)","Yes (RF: 0.95, SVM: 0.87, LR: 0.81 for balanced data)","Yes (RF: 0.95, SVM: 0.86, LR: 0.81 for balanced data)",Not Reported,Not Reported,G-mean and Geometric Mean.,Random Forest (RF).,Yes,Yes,Yes,This study is directly focused on Dhaka and addresses the specific challenges of heterogeneous traffic and poor data quality in the Bangladesh context.,Low risk,Low risk,Low risk,Low risk,Low risk,"The study is limited by the quality and completeness of police-reported data, which may underreport minor injuries.",Random Forest achieved the best performance in predicting fatal vs. non-fatal accidents in Dhaka. The integration of spatial hotspots with machine learning classifiers provides a robust tool for urban administrators to prioritize road safety interventions.,,,,,,,,,,
113,Liu 2022,Analysis and Prediction of the Interval Duration between the First and Second Accidents considering the Spatiotemporal Threshold,Sarbajit Paul Bappy,"Analysis and Prediction of the Interval Duration between the First
and Second Accidents considering the Spatiotemporal Threshold",Fang Liu et al.,2022,Journal of Advanced Transportation,United States ,High income,Mixed sources,"1,215 secondary crash pairs",2017 to 2019,Regional level,Mixed,Random Forest (RF) and SHAP (SHapley Additive exPlanations),Traditional ML,Temporal risk prediction,Fixed split,Not reported,Yes,Spatial coordinate mapping to identify localized primary crash impact buffers and proximity thresholds,Hourly,Road segments / Incident locations,Combined spatiotemporal,Evaluated using continuous regression error metrics,No,No,No,No,Yes,Yes,R-squared,The Random Forest regressor combined with SHAP offered high predictive accuracy alongside robust feature explanation transparency.,No,No,Partially,"This methodology translates well to major high-density freight corridors in Bangladesh (e.g., the Dhaka-Chittagong Highway). Proactively modeling the temporal risk window of secondary accidents allows highway patrols to optimize rapid clearance timelines, preventing localized incidents from freezing regional networks.",Low risk,Low risk,Low risk,Low risk,Low risk,The analysis was confined to a single regional dataset in Virginia; leveraging more geographically diverse datasets would improve the generalizability of the regression model.,"The research confirms that tree-based ensemble models paired with SHAP can successfully estimate primary-secondary crash intervals. Primary incident clearance duration, baseline traffic volume, and road geometric constraints were identified as the primary drivers of secondary crash timing, offering crucial operational insights for emergency dispatch deployment.",,,,,,,,,,
113,Liu 2022,Analysis and Prediction of the Interval Duration between the First and Second Accidents considering the Spatiotemporal Threshold,Consensus,"Analysis and Prediction of the Interval Duration between the First
and Second Accidents considering the Spatiotemporal Threshold",Fang Liu et al.,2022,Journal of Advanced Transportation,United States ,High income,Mixed sources,"1,215 secondary crash pairs",2017 to 2019,Regional level,Mixed,Random Forest (RF) and SHAP (SHapley Additive exPlanations),Traditional ML,Temporal risk prediction,Fixed split,Not reported,Yes,Spatial coordinate mapping to identify localized primary crash impact buffers and proximity thresholds,Hourly,Road segments / Incident locations,Combined spatiotemporal,Evaluated using continuous regression error metrics,No,No,No,No,Yes,Yes,R-squared,The Random Forest regressor combined with SHAP offered high predictive accuracy alongside robust feature explanation transparency.,No,No,Partially,"This methodology translates well to major high-density freight corridors in Bangladesh (e.g., the Dhaka-Chittagong Highway). Proactively modeling the temporal risk window of secondary accidents allows highway patrols to optimize rapid clearance timelines, preventing localized incidents from freezing regional networks.",Low risk,Low risk,Low risk,Low risk,Low risk,The analysis was confined to a single regional dataset in Virginia; leveraging more geographically diverse datasets would improve the generalizability of the regression model.,"The research confirms that tree-based ensemble models paired with SHAP can successfully estimate primary-secondary crash intervals. Primary incident clearance duration, baseline traffic volume, and road geometric constraints were identified as the primary drivers of secondary crash timing, offering crucial operational insights for emergency dispatch deployment.",,,,,,,,,,
109,Mahapatra 2026,Neuro-cognitive AI-driven system for preventing road accidents through driver drowsiness alerts,Sarbajit Paul Bappy,Neuro-cognitive AI-driven system for preventing road accidents through driver drowsiness alerts,Chitaranjan Mahapatra et al.,2026,Array,India,Lower-middle income,Mixed sources,Not Reported,Not Reported,Regional level,Mixed,"Convolutional Neural Networks (CNN), Gated Recurrent Units (GRU), Random Forest, Decision Tree, and YOLOv5",Hybrid,Mixed,Not reported,Other: The study used a balanced dataset of 400 labeled instances: 200 drowsy and 200 alert samples,Yes,CNN for spatial feature extraction from images; HOG-based face detection; YOLOv5 for object tracking,Not specified,Vehicle/Driver level,Combined spatiotemporal,Yes (Final Integrated System: 95.2% ± 1.0%),Yes (Final Integrated System: 0.97 ± 0.01),Yes (Final Integrated System: 93.0% ± 1.1%),Yes (Final Integrated System: 93.4% ± 1.2%),Yes (Final Integrated System: 92.6% ± 1.3%),Not Reported,Not Reported,Specificity (Final Integrated System: 96.1% ± 0.9%),Final Integrated Neuro-cognitive System (Multimodal Fusion),No,Yes,Partially,The focus on low-cost hardware (Raspberry Pi) and proactive safety in rapidly urbanizing developing contexts is highly applicable to Bangladesh's road safety goals.,Low risk,Low risk,Low risk,Low risk,Low risk,(1) The accident detection module has not been experimentally validated yet; (2) Variability in infrastructure and need for sensor calibration; (3) System does not yet address distraction or intoxication.,"The neuro-cognitive AI system achieves high accuracy (95.2%) in detecting driver drowsiness by fusing spatial (CNN) and temporal (GRU) data. Multimodal fusion significantly outperformed unimodal configurations, with the EAR threshold of 0.26 over a 3-second window providing the optimal balance for fatigue alerts. The system is designed to integrate with smart city IoT infrastructure for real-time emergency coordination.",,,,,,,,,,
109,Mahapatra 2026,Neuro-cognitive AI-driven system for preventing road accidents through driver drowsiness alerts,Consensus,Neuro-cognitive AI-driven system for preventing road accidents through driver drowsiness alerts,Chitaranjan Mahapatra et al.,2026,Array,India,Lower-middle income,Mixed sources,Not Reported,Not Reported,Regional level,Mixed,"Convolutional Neural Networks (CNN), Gated Recurrent Units (GRU), Random Forest, Decision Tree, and YOLOv5",Hybrid,Mixed,Not reported,Other: The study used a balanced dataset of 400 labeled instances: 200 drowsy and 200 alert samples,Yes,CNN for spatial feature extraction from images; HOG-based face detection; YOLOv5 for object tracking,Not specified,Vehicle/Driver level,Combined spatiotemporal,Yes (Final Integrated System: 95.2% ± 1.0%),Yes (Final Integrated System: 0.97 ± 0.01),Yes (Final Integrated System: 93.0% ± 1.1%),Yes (Final Integrated System: 93.4% ± 1.2%),Yes (Final Integrated System: 92.6% ± 1.3%),Not Reported,Not Reported,Specificity (Final Integrated System: 96.1% ± 0.9%),Final Integrated Neuro-cognitive System (Multimodal Fusion),No,Yes,Partially,The focus on low-cost hardware (Raspberry Pi) and proactive safety in rapidly urbanizing developing contexts is highly applicable to Bangladesh's road safety goals.,Low risk,Low risk,Low risk,Low risk,Low risk,(1) The accident detection module has not been experimentally validated yet; (2) Variability in infrastructure and need for sensor calibration; (3) System does not yet address distraction or intoxication.,"The neuro-cognitive AI system achieves high accuracy (95.2%) in detecting driver drowsiness by fusing spatial (CNN) and temporal (GRU) data. Multimodal fusion significantly outperformed unimodal configurations, with the EAR threshold of 0.26 over a 3-second window providing the optimal balance for fatigue alerts. The system is designed to integrate with smart city IoT infrastructure for real-time emergency coordination.",,,,,,,,,,
103,Mussah 2022,Machine Learning Framework for Real-Time Assessment of Traffic Safety Utilizing Connected Vehicle Data,Sarbajit Paul Bappy,"Machine Learning Framework for Real-Time Assessment of
Traffic Safety Utilizing Connected Vehicle Data",Mussah et al.,2022,Sustainability,USA,High income,Sensor or telematics data,Not Reported,2010 to 2019,City level,Urban,"Linear Regression (OLS), Poisson Regression, Gradient Boosted (GB) Regression, and XGBoost Classification",Ensemble,Accident occurrence prediction,Fixed split,Yes-SMOTE,No,Roadway segment link indexing and spatial conflation of GPS points to segments,Hourly,Road segment level,Combined spatiotemporal,"0.88 (Under Sampling), 0.89 (SMOTE), 0.91 (Ensemble), 0.95 (Weighted Ensemble)","0.95 (Under Sampling), 0.96 (SMOTE)","0.88 (Under Sampling), 0.89 (SMOTE)","0.90 (Under Sampling), 0.87 (SMOTE)","0.87 (Under Sampling), 0.91 (SMOTE)","192.05 (OLS), 204.84 (Poisson), 166.36 (GB Regression)","4.03 (OLS), 4.18 (Poisson), 6.39 (GB Regression)",$R^2$ of 0.806 for GB Regression,Weighted Ensemble model (Accuracy 0.95),No,No,No,"The study emphasizes that high-resolution connected vehicle data is currently scarce, noting a penetration rate of only 2% to 10% even in a high-income setting. This suggests that implementation in Bangladesh would require significant growth in connected vehicle infrastructure or reliance on alternative probe sources like mobile GPS.",Low risk,Low risk,Low risk,Low risk,Low risk,"Low penetration rate of connected vehicles (2–10%), Data sparseness on less-traveled local roads, Exclusion of extreme weather conditions in the current model","Hard deceleration events are strong positive predictors of crash outcomes. The proposed XGBoost framework achieves up to 95% accuracy in detecting real-time crash risks using 5-minute temporal windows, primarily driven by segment speed and reference speed variables.",,,,,,,,,,
103,Mussah 2022,Machine Learning Framework for Real-Time Assessment of Traffic Safety Utilizing Connected Vehicle Data,Consensus,"Machine Learning Framework for Real-Time Assessment of
Traffic Safety Utilizing Connected Vehicle Data",Mussah et al.,2022,Sustainability,USA,High income,Sensor or telematics data,Not Reported,2010 to 2019,City level,Urban,"Linear Regression (OLS), Poisson Regression, Gradient Boosted (GB) Regression, and XGBoost Classification",Ensemble,Accident occurrence prediction,Fixed split,Yes-SMOTE,No,Roadway segment link indexing and spatial conflation of GPS points to segments,Hourly,Road segment level,Combined spatiotemporal,"0.88 (Under Sampling), 0.89 (SMOTE), 0.91 (Ensemble), 0.95 (Weighted Ensemble)","0.95 (Under Sampling), 0.96 (SMOTE)","0.88 (Under Sampling), 0.89 (SMOTE)","0.90 (Under Sampling), 0.87 (SMOTE)","0.87 (Under Sampling), 0.91 (SMOTE)","192.05 (OLS), 204.84 (Poisson), 166.36 (GB Regression)","4.03 (OLS), 4.18 (Poisson), 6.39 (GB Regression)",$R^2$ of 0.806 for GB Regression,Weighted Ensemble model (Accuracy 0.95),No,No,No,"The study emphasizes that high-resolution connected vehicle data is currently scarce, noting a penetration rate of only 2% to 10% even in a high-income setting. This suggests that implementation in Bangladesh would require significant growth in connected vehicle infrastructure or reliance on alternative probe sources like mobile GPS.",Low risk,Low risk,Low risk,Low risk,Low risk,"Low penetration rate of connected vehicles (2–10%), Data sparseness on less-traveled local roads, Exclusion of extreme weather conditions in the current model","Hard deceleration events are strong positive predictors of crash outcomes. The proposed XGBoost framework achieves up to 95% accuracy in detecting real-time crash risks using 5-minute temporal windows, primarily driven by segment speed and reference speed variables.",,,,,,,,,,
102,Maruyama 2023,Accident Prediction Model Using Divergence Between Visual Attention and Focus of Expansion in Vehicle-Mounted Camera Images,Sarbajit Paul Bappy,"Accident Prediction Model Using Divergence
Between Visual Attention and Focus of Expansion
in Vehicle-Mounted Camera Images",Yuta Maruyama et al.,2023,IEEE Access,Japan,High income,Sensor or telematics data,"665 accident videos from the DAD dataset and 1,500 accident videos from the CCD dataset",Not Reported,National level,Mixed,"VGG16, Gated Recurrent Unit (GRU), and a custom Divergence Model",Deep learning,Accident occurrence prediction,Fixed split,Yes-oversampling,No,Focus of Expansion (FOE) estimation and Visual Attention (VA) map generation,Not specified,Not Reported,Combined spatiotemporal,Not Reported,Yes (AP result on DAD: 48.0%; on CCD: 70.8%),Not Reported,Yes (Average Precision - AP),Not Reported,Not Reported,Not Reported,Time-to-Accident (TTA): 3.32s on DAD; 3.63s on CCD,"Proposed Model (Integration of Divergence, VA, and Motion features)",No,No,No,Not Reported,Low risk,Low risk,Low risk,Low risk,Low risk,"The model may not perform well in environments where optical flow and FOE cannot be accurately estimated, such as during nighttime or severe weather","The study proposes a novel accident prediction model that leverages the divergence between a driver's visual attention and the focus of expansion (FOE). This method effectively predicts accidents even when the motion features of risk factors are small, a limitation in existing models. The model provides both high precision and visualization of the decision-making basis.",,,,,,,,,,
102,Maruyama 2023,Accident Prediction Model Using Divergence Between Visual Attention and Focus of Expansion in Vehicle-Mounted Camera Images,Consensus,"Accident Prediction Model Using Divergence
Between Visual Attention and Focus of Expansion
in Vehicle-Mounted Camera Images",Yuta Maruyama et al.,2023,IEEE Access,Japan,High income,Sensor or telematics data,"665 accident videos from the DAD dataset and 1,500 accident videos from the CCD dataset",Not Reported,National level,Mixed,"VGG16, Gated Recurrent Unit (GRU), and a custom Divergence Model",Deep learning,Accident occurrence prediction,Fixed split,Yes-oversampling,No,Focus of Expansion (FOE) estimation and Visual Attention (VA) map generation,Not specified,Not Reported,Combined spatiotemporal,Not Reported,Yes (AP result on DAD: 48.0%; on CCD: 70.8%),Not Reported,Yes (Average Precision - AP),Not Reported,Not Reported,Not Reported,Time-to-Accident (TTA): 3.32s on DAD; 3.63s on CCD,"Proposed Model (Integration of Divergence, VA, and Motion features)",No,No,No,Not Reported,Low risk,Low risk,Low risk,Low risk,Low risk,"The model may not perform well in environments where optical flow and FOE cannot be accurately estimated, such as during nighttime or severe weather","The study proposes a novel accident prediction model that leverages the divergence between a driver's visual attention and the focus of expansion (FOE). This method effectively predicts accidents even when the motion features of risk factors are small, a limitation in existing models. The model provides both high precision and visualization of the decision-making basis.",,,,,,,,,,
